,வாக்கியங்கள்
38, அதற்காக தன்னை அது இரண்டாக பிரித்துக்கொண்டது
39, தன்னுடைய உடலின் மேல்பகுதியை கருமையாகவும் கீழ்ப்பகுதியை வெண்மையாகவும் ஆக்கியது
40, முடிவில்லாமல் சுருண்டு கிடந்த தன் உடலுக்குள்ளே அது ஊர்ந்துகொள்ள ஆரம்பித்தது
41, கருமை விசை மிக்கதாக இருந்தது
42, அதை ராஜஸ குணம் என்று அது அறிந்தது
43, வெண்மை சீரானதாக இருந்தது
44, அதை சத்வகுணம் என்று அது அறிந்தது
45, மீண்டும் கோடானுகோடி ஆண்டுகளானபோது அந்த இரு குணங்களும் நாகத்திலிருந்து தோலாக உரிந்து தனியாகப் பிரிந்தன
46, முதல்நாகம் அவற்றை தன் குழந்தைகள் என அறிந்தது
47, அவற்றை அது ‘நீங்கள் வளருங்கள்
48, உங்கள் குலம் அழிவற்றதாக அமைவதாக’ என்று வாழ்த்தியது
50,கரியநிறமான நாகத்தின் பெயர் தட்ச பிரஜாபதி
51, இமையாத கண்கள் கொண்டவன் என்று பொருள்
52, வெண்ணிறமான நாகத்தின் பெயர் மரீசி பிரஜாபதி
53, வெண்ணிற ஒளி என்று அவனுக்குப் பெயர்
54, அவர்கள் இருவரும் ஒருவரை ஒருவர் தழுவிக்கொண்டு பலகோடி ஆண்டுகள் வானத்தை நிறைத்து விரிந்துகிடந்தார்கள்
55, அவர்களால்தான் திசைகள் உருவாகி வந்தன
56, தட்சனின் தலை கிடந்த எல்லை மேற்கு என்றும் மரீசியின் தலை கிடந்த எல்லை கிழக்கு என்றும் அறியப்படலாயிற்று
57, கிழக்குக்கும் மேற்குக்கும் காவலாக வடக்கும் தெற்கும் உருவாகிவந்தன
59,தழுவித்தழுவி இறுகியபின் மேலும் தழுவும்பொருட்டு அவர்களின் தழுவல் சற்றே தளர்ந்தபோது இருவருக்கும் நடுவே காலம் புகுந்துகொண்டது
60, மரீசி காலத்தை ஆறுவேளைகளாக உணர ஆரம்பித்தான்
61, ஒவ்வொரு காலத்துக்கும் ஒன்று என தன்னிலிருந்து ஆறு உடன்பிறந்தாரை உருவாக்கிக்கொண்டான்
62,"  அங்கிரஸ், அத்ரி, புலஸ்தியன், வசிஷ்டன், புலஹன், கிருது என்ற அறுவருடன் இணைந்து ஏழாக ஆனான்"
63, அவர்கள் எழுவரும் வானத்தில் ஏழு விண்மீன்களாக அமர்ந்து கனவுகண்டார்கள்
64, வானத்தை முழுக்க நிறைத்துவிடவேண்டுமென விரும்பினார்கள்
65, அவர்களின் விருப்பம் கோடானுகோடி ஆண்டுகளாக நீடித்து ஊழ்கமாகி தவமாகி முதிர்ந்தபோது அது வீரணி என்ற ஒளிமிக்க வெண்ணிற நாகமாக ஆகியது
66, அவளை அவர்கள் அஸிக்னி என்று பெயர்சூட்டி மகளாக வளர்த்தனர்
67, அவள் வளர்ந்ததும் அவளை தட்ச பிரஜாபதிக்கு மணம்செய்து கொடுத்தனர்
69,விண்ணிலும் மண்ணிலும் விரிந்துள்ள அனைத்தும் தட்சனுக்கும் அஸிக்னிக்கும் பிறந்தவையே என்றாள் மானசாதேவி
70, முடிவில்லாத காமமே தட்ச பிரஜாபதி
71, அஸிக்னியோ முடிவில்லாத வளம்
72, ‘கொள்’ என்ற இச்சையே தட்சன்
73, ‘அளி’ என்ற இச்சையே அஸிக்னி
74, எழுவதன் வீரியமே தட்சன்
75, விரிவதன் வல்லமையே அஸிக்னி
76, அவர்களில் இருந்துதான் தேவகுலங்கள் அனைத்தும் பிறந்தன
77, அசுரகணங்கள் பிறந்தன
78, நடுவே மனிதர்களும் மிருகங்களும் பறவைகளும் புழு பூச்சிகளும் தாவரங்களும் பிறந்தன
79, அவர்கள் வாழ்வதற்காக ஏழு விண்ணகங்களும் ஏழு பாதாளங்களும் உருவாகிவந்தன
81,தட்ச பிரஜாபதிக்கு பிறந்த அறுபது மகள்களில் ஒருத்தியின் பெயர் கத்ரு
82, அவளை மரீசியின் மைந்தனான கஸ்யபன் மணம் புரிந்துகொண்டான்
83, அவள்தான் நாகர்குலத்தின் ஆதியன்னை என்றாள் மானசாதேவி
84, கத்ரு பதினான்கு மடிப்புகளாகச் சுருண்டு அனைத்துலகங்களையும் வளைத்துக் கிடந்தாள்
85, அவளுடைய தலை ஏழாம் விண்ணிலும் வால்நுனி ஏழாம் பாதாளத்திலுமிருந்தது
86, அவளுடைய கரிய உடலெங்கும் கோடானுகோடி விண்மீன்கள் மின்னிக்கொண்டிருந்தன
87, அவளுடைய கண்கள் இரு செந்நிற ஆதித்யர்களாக கிழக்கிலும் மேற்கிலுமாக சுடர்விட்டன
88, அவளுடைய பிளவுண்ட செந்நாக்கு கோடானுகோடி யோசனை தொலைவுள்ள நெருப்பாறாக வானில் பெருக்கெடுத்து அலைபாய்ந்தது
90,நமது கிராமங்களில் ஆலமரத்தின் அடியில் கல்விழிகளுடன் கல்படம் எடுத்து கோயில்கொண்டிருப்பவள் நம்முடைய ஆதியன்னை கத்ருவே என்று மானசாதேவி சொன்னாள்
91, கிழக்கே ஒளிமிக்க சிறகுகளுடன் எழுந்த கஸ்யபன் கத்ருதேவியிடம் ‘உனக்கு நான் மைந்தர்களை அளிக்கிறேன்
92," வெல்லமுடியாத அறிவுத்திறன், நிகரற்ற வீரம், பேரழகு ஆகியவற்றில் ஏதேனும் ஒரு குணத்தை மட்டும் நீ உன் மைந்தர்களுக்காக தேர்வுசெய்யலாம்’ என்றார்"
93, கத்ருதேவி ‘இவையனைத்தும் அழியக்கூடியவை
94, அழியாதது ஒன்றே
95, முடிவில்லாமல் பெருகிக்கொண்டிருக்கும் வல்லமை
96, அழிவில்லாமல் இருந்துகொண்டிருக்கும் இச்சை
97, அந்த குணமுள்ள குழந்தைகளை எனக்கு அளியுங்கள்’ என்று சொன்னாள்
98, ‘ஆம் அவ்வாறே ஆகுக’ என்று கஸ்யபனும் வாக்களித்தான்
99, அவ்வாறாக கத்ருதேவி நீலநிறமான ஒரு முட்டையை ஈன்றாள்
100, அதை அவள் முத்தமிட்டு உடைத்தபோது கன்னங்கரிய ஆயிரம் நாகப்பாம்புகள் வெளிவந்து நெளிந்தன
101, அவர்களிலிருந்து நாகவம்சம் உருவாகியது
103,விண்ணிலும் மண்ணிலும் பாதாளத்திலும் கத்ருவின் மைந்தர்களான நாகர்களே ஆள்கிறார்கள் என்றாள் மானசாதேவி
104, விண்ணை ஆள்பவன் சேஷன்
105, பாதாளத்தை ஆள்பவன் வாசுகி
106, மண்ணை ஆள்பவன் தட்சகன்
107, தட்சகனின் ஆயிரம் மனைவிகளிலிருந்துதான் மண்ணிலுள்ள அத்தனை நாகங்களும் உருவாயின
108, அந்த நாகங்கள் மனிதர்களுடன் புணர்ந்து நாகர்குல மக்கள் உருவானார்கள்
109, பாரதவர்ஷத்தின் எல்லா மூலைமுடுக்குகளிலும் நாகர்கள் பெருகி நிறைந்தனர்
110, குன்றாத பிறப்புவீரியமே அவர்களின் வல்லமையாக இருந்தது
112,தட்சகனின் வம்சத்தில் வந்த காலகனின் மகளாகிய என்பெயர் மானசாதேவி
113," எனக்கு ஜகல்கௌரி, சித்தயோகினி, நாகபாகினி என்றெல்லாம் பெயருண்டு"
114, இளமையிலேயே நான் காட்டுக்குச் சென்று சிவனை எண்ணி கடுந்தவம் செய்தேன்
115, நாகபடம் சூடிய சிவன் தோன்றி ‘உனக்கு என்ன வரம் தேவை?’ என்றான்
116, ‘முழுமைநிலையன்றி ஏதும் எனக்குத் தேவையில்லை’ என்று சொன்னேன்
117, ‘நீ பெண்ணானதனால் கருவுறாமல் உனக்கு முழுமைநிலை கைகூடுவதில்லை
118, பாசிமணிகளுக்குள் பட்டுச்சரடுபோல மனிதர்களுக்குள் விதியின் நோக்கம் ஊடுருவிச்செல்கிறது
119, உன் கருப்பையின் நிறைவை உணர்ந்தபின் மீண்டும் வருக’ என்று சொல்லி விஷத்தின் அதிபன் மறைந்தான்
121,வேசரவனத்தில் குகையொன்றுக்குள் ஜரத்காரு என்ற முனிவர் அதன் மேல்குவட்டில் இருந்து சொட்டும் மலைத்தேனை மட்டுமே உண்டு தவம் செய்துவந்தார்
122, வழிதவறி உள்ளே சென்ற மின்மினி ஒன்றின் ஒளி வழியாக கனத்த இருள் மண்டிய அந்தக்குகை பாதாளத்துக்கான நுழைவாயில் என்று அறிந்து ஒருநாள் அவர் அதற்குள் நடந்து சென்றார்
123, நூறுமடிப்புகளைக்கொண்ட அந்தப்பாதையின் முடிவில் அதலமெனும் முதற்கீழுலகு இருந்தது
124, அங்கே நெளியும் கருநாகங்களில் புல்நுனிகளில் புழுக்களைப்போல அள்ளிப்பற்றி தொங்கிக்கிடந்த ஆயிரம் சிறிய மனித உருவங்களை கண்டார்
125, அவையெல்லாம் தன்னுடைய மூதாதையர் என்பதை உணர்ந்தார்
126, ‘உன் உதிரம் முளைத்தெழவில்லை
127, எங்களுக்கு அன்னமும் நீரும் அளிக்கப்படவில்லை
128, ஆகவே இந்த உலகில் வாழ்கிறோம்’ என்று அவர்கள் சொன்னார்கள்
130,ஒளிக்கு மீண்டு வந்த ஜரத்காரு முனிவர் தன்னுள் இருந்து தன் மூதாதையரின் வம்சத்தை உருவாக்க எண்ணிய நேரத்தில் நான் அவரை சந்தித்தேன்
131, மண்ணுலகை ஆளும் அரசநாகமான தட்சகன் என்னைத் தேடிவந்து அளித்த ஆணையின்படி அங்கே சென்றேன்
132, கன்னங்கரிய ஆலமரம்போல ஆயிரம் தலைகளுடன் என் முன் எழுந்து நின்ற தட்சகன் ‘தேவி நீ பிறந்ததன் நோக்கம் நிறைவேறவிருக்கிறது’ என்று சொல்லியிருந்தார்
133, நான் குகைவாயிலுக்குச் சென்று என் காதலனைத்தையும் கொண்டு மாயாவடிவமெடுத்து நின்று முனிவரின் மனம் கவர்ந்தேன்
134, என்னை அவர் ஓடும் நீரை சாட்சியாக்கி மணம்புரிந்துகொண்டார்
135, அவருக்கு என்னில் பிறந்த மகன் நீ என்றாள் மானசாதேவி
137,நீ பிறப்பதற்குள்ளேயே என்னை உன் தந்தை விட்டுச் சென்றுவிட்டார்
138, அகத்திலும் புறத்திலும் அவரை நான் என்னுடைய காதலின் மாயத்தில் வைத்திருந்தேன்
139, அவரது பகலும் இரவும் காலையும் அந்தியும் நான் உருவாக்கியவை
140, அவர் கண்ட மண்ணும் விண்ணும் காடும் நதிகளும் என் கற்பனையில் உருவானவை
141, ஒருகணம்கூட அவர் அந்த மாயையில் இருந்து விடுபடக்கூடாதென்பதனால் நான் இரவும் பகலும் தூங்காமலிருந்தேன்
142, ஆனால் ஒருநாள் அவர் ஆலமரத்தடியில் துயில்கையில் நானும் சற்று கண்ணயர்ந்துவிட்டேன்
143, விழித்துக்கொண்ட அவர் தூங்கும்போது மட்டுமே என்னில் வெளிப்படும் என் நாகவடிவத்தை கண்டார்
144, அக்கணமே மாயைகள் அனைத்தும் கலைந்து முன்னும் பின்னும் காலத்தைக் கண்டு திகைத்து நின்றார்
145, அதலத்தில் அவர் கண்ட மூதாதையர் பாதாளமூர்த்திகளான கருநாகங்களே என்று உணர்ந்தார்
146, அருகே இருந்த ஓடைநீரை அள்ளி என்னை சபிப்பதற்காக ஓங்கினார்
148,‘உங்கள் சாபத்தை என் வயிற்றில் வளரும் உங்கள் மைந்தனும் பெறவேண்டுமா?’ என்று அவரிடம் கேட்டேன்
149," ‘ஆம், வேறுவழியில்லை"
150, இக்கணத்தில் எண்ணியவற்றை நான் திரும்பப்பெற முடியாது’ என்றார்
151, ‘உன் மைந்தன் ஆயுள் முழுமை பெறமாட்டான்
152, நீ புத்திரசோகத்தில் இறப்பாய்’ என்றபின் மனமுடைந்து அழ ஆரம்பித்தார்
153, நான் அவர் அருகே அமர்ந்து ‘இதில் வருந்துவதற்கேதுமில்லை
154, நீங்களும் நானும் நாம் ஒருபோதும் அறியமுடியாத காலநாடகத்தின் இரு சிறு துளிகள் மட்டுமே’ என்றேன்
155," ‘ஆம், உன் மாயையால் என்னை சூழ்ந்துகொண்டாய்"
156, அந்த மாயையால் எனக்கு ஒரு வரம் கொடு
157, உன்னையும் இக்குழந்தையையும் முற்றாக மறந்து நான் செல்லவேண்டும்’ என்று அவர் என்னிடம் கோரினார்
158, ‘அவ்வாறே ஆகுக’ என நான் வரமளித்தேன்
159, அந்த ஓடையைத் தாண்டியதுமே அவர் உன்னையும் என்னையும் முழுமையாக மறந்தவராக ஆனார்
161,உன்னை உன் மாமன் வாசுகியின் உதவியுடன் வளர்த்தேன்
162, ஞானத்தின் விதைகளை உன்னுள் ஊன்றிவிட்டேன்
163, நீ கற்கும் கல்வி உன்னை முழுமையாக்கும்
164, உனக்கு முதுமை இல்லை
165, உன் தந்தை உனக்களித்த வரமாகவே அதை கொள்
166, உன்னை முதியவனாக பார்க்கும் நிலை எனக்கும் இல்லை
167, அது என் காதலுக்கு அவர் அளித்த கொடை என்றே எண்ணுகிறேன்
168, உன்னுடைய சின்னஞ்சிறு உடலுக்குள் விதைக்குள் பெருமரம்போல இப்பிரபஞ்சத்தின் பெருநிகழ்வொன்று குடியிருக்கிறது
170,குழந்தை பெருமூச்சு விட்டது
171," பெரிய கனவுகள் சிறிய உடலை அலைக்கழித்தன போலும், தன் தோள்களை குறுக்கிக்கொண்டு அன்னையின் ஆடைநுனியை எடுத்து கட்டைவிரலில் சுற்றி கடித்துக்கொண்டு அண்ணாந்து நோக்கியது"
173,"“மகனே, நீ பிறந்ததற்கான தருணம் இப்போது வந்துவிட்டது"
174, நீ நாளையே கிளம்பு” என்று மானசாதேவி தன் மகனை மெல்ல அணைத்து அவன் காதுகளில் மெதுவாக சொன்னாள்
176,"வேசரதேசத்தில் புஷ்கரவனத்தில் அதிகாலையில் நாகர்குலத்தின் அரசியான மானசாதேவி தன் மகன் ஆஸ்திகனை எழுப்பி நீராடச்செய்து மரவுரியாடையணிவித்து, மான்தோல்மூட்டையில் உணவுக்கான வறுத்த புல்லரிசியும் மாற்று உடையும் எடுத்துவைத்துக்கட்டி, சுரைக்காய் கமண்டலத்தில் நீர் நிறைத்துவைத்து, நெற்றியில் குலதெய்வங்களின் மஞ்சள் குறியை அணிவித்து ”நீண்ட ஆயுளுடன் இரு"
177, உன் வழிகளெல்லாம் சென்றுசேர்வதாக” என்று வாழ்த்தி விடைகொடுத்தனுப்பினாள்
178, அப்போது அவளுடைய குலத்தின் அத்தனை பெண்களும் அவள் வீட்டின் முன் கூடியிருந்தனர்
179," ஆலமரத்தடியில் அவர்களின் குலதெய்வங்களான நாகங்கள் கல்லாலான பத்திகளை விரித்து, கல்லுடல் பின்னி, கல்விழிகளால் பார்த்துக்கொண்டிருந்தன"
181,ஆறு வயதான ஆஸ்திகன் குனிந்து தன் அன்னையின் கால்களைத் தொட்டு வணங்கிவிட்டு தன் சிறுகால்களை எடுத்து வைத்து பசும்சாணி பூசிய படிகளில் இறங்கி நீலச்செண்பகமலர்கள் விழிவிரித்து பார்த்துக்கிடந்த முற்றத்தைத் தாண்டி நடந்து ஊர்முனையில் மறைந்தபோது விம்மும் நெஞ்சுடன் அவள் பின்னால் ஓடிவந்து ஊர்மன்றின் அரசமரத்தடியில் நின்று கண்ணெட்டும் தூரம் வரை பார்த்திருந்தாள்
182," மண்நிறமான மரவுரியும், கரிய குடுமியும் கண்ணிலிருந்து மறைந்த பின்புதான் அவள் அறிந்தாள், அவன் ஒருகணம்கூட திரும்பிப்பார்க்கவேயில்லை என்று"
184,ஆஸ்திகன் கிருஷ்ணையின் நீர்ப்பெருக்கை படகில் கடந்து சென்றான்
185, அன்றிரவு கிருஷ்ணநகரத்தில் ஒரு சத்திரத்தில் தங்கினான்
186, அங்கிருந்து மறுநாள் கிளம்பி வடக்குநோக்கி செல்ல ஆரம்பித்தான்
187, பாரதத்தின் ஒவ்வொரு ஊரிலிருந்தும் அஸ்தினபுரிக்குச் செல்லும் ஒரு பாதை இருந்தது
188," இரவுகளில் மரத்தடிகளிலும் மழைபெய்யும்போது கோயில்மண்டபங்களிலும் கழித்தபடி கால்களில் புழுதிபடிய, சிவந்த சருமம் வெந்து கருக அவன் நடந்து சென்றுகொண்டே இருந்தான்"
189, மரவுரியணிந்த முனிகுமாரனை ஒவ்வொரு ஊரிலும் குடும்பத்தவர்கள் வந்து வணங்கி உணவும் நீரும் இடமும் அளித்து வழியனுப்பிவைத்தனர்
191,சிலகணங்கள் பார்த்துவிட்டு கீழே இறங்கி ரதசாலை வழியாக நடந்து கோட்டைவாசலை அடைந்தான்
192, மேலே எழுந்து அத்திசையை முற்றாகவே மறைத்துக்கொண்டது சுவர்
193, அவன் கண்ட நகரங்களில் எதிலும் அதற்கிணையான கோட்டை இருந்ததில்லை
194, பாதாளநாகம் போன்ற கரிய உடல் மீது புதுமழையில் முளைத்த பசும்புற்கள் காற்றில் சிலுசிலுக்க வளைந்து ஓங்கிக் கிடந்தது கோட்டை
195, கோட்டைக்கு முன்னாலிருந்த அகழிக்குள் முளைத்தெழுந்த நீர்மரங்கள் பசும்கிளைகளை கோர்த்துக்கொண்டு பச்சைத்தழைப்பு செறிந்து நின்றன
196, பாதை சற்றே எழுந்து விரியத் திறந்துகிடந்த கோட்டைவாசலுக்குள் சென்றது
197, இருபக்கமும் இருபது ஆள் உயரமான கோட்டைக்கதவுகள் திறந்து மண்ணில் புதைந்திருந்தன
198, கதவின் மரத்தடிகளை இணைத்த இரும்புப்பட்டைகள் துருவேறியிருந்தன
199, மரச்சிற்பங்கள் மேல் பச்சோந்திக்கால்கள் போல வேர் பதித்து படர்ந்து ஏறி பச்சை இலைகளை விரித்து காற்றிலாடி நின்ற கொடிகளுக்குள் கதவை மோதும் பகையானை மத்தகங்களைத் தடுக்கும் பித்தளைக்குமிழ்கள் களிம்புப்பச்சை நிறத்தில் காய்கள்போலத் தெரிந்தன
202,ஓவியம்: ஷண்முகவேல்
203,கோட்டைவாசலிலும் உள்ளே ரதவீதியிலும் எங்கும் காவல் இருக்கவில்லை
204,காலைவெயிலில் இளமழை பொழிந்துகொண்டிருக்க அவன் புறச்சாலையில் நடந்தபோது நகரமே அமைதியாக இருக்கக் கேட்டு பிரம்மசாபத்தால் தூங்கிக்கொண்டிருக்கும் பெருநகரமோ அது என ஐயம் கொண்டான்
205," மழைப்பிசிர்கள் நின்று, நனைந்த கல்பரப்புகளும் இலைகளும் ஒளி விட்டுக்கொண்டிருப்பதைக் கண்டபடி அவன் நகரத்தெருக்கள் வழியாக சென்றான்"
206, சுண்ணம்சேர்த்துக்கட்டிய சுவர்களும் செவ்வரக்கு பூசிய மரப்பட்டைக்கூரைகளும் கொண்ட மூன்றடுக்கு மாளிகைகள் இருபக்கமும் அணிவகுத்த அகன்ற தெருக்களில் குழந்தைகள் நீரில் நீந்தும் பரல்மீன்கள் போல பெரிய கண்களுடன் ஓசையே இல்லாமல் விளையாடின
207," வீட்டுத்திண்ணைகளில் யாழ்களுடன் இருந்தவர்கள், தயிர்கொண்டுசென்ற ஆய்ச்சியர் அனைவரும் கனவுருக்கள் போல அமைதியாக அசைந்துகொண்டிருந்தனர்"
209,அஸ்தினபுரியில் மாமன்னன் ஜனமேஜயன் பலகட்டங்களாக ஐந்துமாதங்களாக நடத்திவந்த மாபெரும் பூதயாகம் ஒன்று அன்று முடிவுக்கு வந்துகொண்டிருந்தது
210, நகரமெங்கும் பாரதவர்ஷத்தின் அனைத்துப்பகுதிகளிலிருந்தும் வந்திருந்த வைதிகர்களும் முனிவர்களும் நிறைந்திருந்தனர்
211, அவர்கள் தங்குவதற்காக நகருக்கு வெளியே உபவனத்தில் குடில்கள் கட்டப்பட்டிருந்தன
213,ஆஸ்திகன் அங்கே தன்னை வரவேற்றுச் சென்ற சிற்றமைச்சனிடம் ”யாயாவர வைதிக குலத்தில் உதித்தவரும் கஸ்யப கோத்திரத்தைச் சேர்ந்தவருமாகிய ஜரத்காரு ரிஷியின் மைந்தன் நான்
214, நைஷ்டிக பிரம்மசாரி
215, என் பெயர் ஆஸ்திகன்” என்று அறிமுகம் செய்துகொண்டான்
216," அவர் அவனை வணங்கி அழைத்துச்சென்று, ஈச்சைஓலைகளால் கூரை வேய்ந்து மரப்பட்டைகளால் சுவரமைக்கப்பட்ட அழகிய சிறுகுடில்களில் ஒன்றில் தங்கச்செய்தார்"
217, அங்கேயே ஓடிய சிறுநதியில் நீராடி புத்தாடை அணிந்து வழிபாடுகளை முடித்துக்கொண்டு ஆஸ்திகன் ஜனமேஜயனின் வேள்விச்சாலைக்குச் சென்றான்
219,அன்று வேள்வியின் இறுதிநாள் என்பதனால் நகரமே வேள்விச்சாலை நோக்கி சென்றுகொண்டிருந்தது
220, பொன்னூல் பின்னல்கள் கொண்ட வண்ண ஆடைகள் அணிந்து பொன்னணிகளாலும் மலர்களாலும் அலங்கரித்துக்கொண்ட பெண்கள்
221, சிகையில் மயிற்பீலிவைத்து மலர்சுற்றிக்கட்டி பீதாம்பரம் அணிந்த குழந்தைகள்
222, கச்சை வேட்டிகட்டி சரிகை அந்தரீயத்தை வலப்பக்கமாகச் சுற்றி குடுமியில் மலர்க்கொத்துக்கள் அணிந்த ஆண்கள்
223, மெல்ல கனைத்து வழிகேட்ட மாந்தளிர்நிறமான குதிரைகள் சாமரவாலைச் சுழற்றியபடி இறுகி அசையும் தசைகளுடன் குளம்புகள் தடதடக்க கடந்துசென்றன
225,விதவிதமான சிறிய வண்டிகளில் ஏதேதோ பொருட்கள் சென்றுகொண்டிருந்ததை ஆஸ்திகன் கண்டான்
226, தாமிர உருளி திறந்த கவந்த வாயுடன் கணகணத்து ஒரு கைவண்டியில் இழுபட்டுச் சென்றது
227, பெரிய நிலவாய் நிறைய நெய் மூடியிலிருந்த சிறிய ஓட்டைவழியாக அவ்வப்போது சற்று கொப்பளித்துத் துப்பியபடி ஒற்றைமாட்டுவண்டியில் சென்றது
228, இன்னொரு பெரிய பாத்திரத்தின் இரு காதுகள் வழியாகவும் மூங்கிலைச் செலுத்தி இருவர் தூக்கிக்கொண்டு சென்றனர்
229, தலைச்சுமையாக ஐந்துபேர் தாமரைமலர்களை கட்டி எடுத்துக்கொண்டு சென்றனர்
230, அவர்களின் தோள்களில் தாமரைநீர் சொட்டிக்கொண்டிருந்தது
232,வானத்தில் எழுந்ததுபோல ஜனமேஜயனின் அரண்மனைமுகடு தெரிந்தது
233," மரப்பலகையால் செய்யப்பட்டு வெண்சுண்ணமும் அரக்கும் கலந்து பூசப்பட்ட கவிழ்ந்த தாமரைவடிவமான கூரைக்குவை, மண்ணிலிறங்கிய மேகக்குமிழ்போல"
234, அதன் மேல் குருவம்சத்தின் அமுதகலசச் சின்னத்தைத் தாங்கிய பெரிய பொன்னிறக்கொடி துவண்டு அசைந்தது
235, அதைச்சுற்றி தாமரைக்கூட்டங்கள் போல வெண்ணிறமான சிறியமுகடுகள்
236, அரண்மனையின் உள்கோட்டை செம்மண் நிறத்தில் வட்டமாக சுற்றிவளைத்திருக்க அதன் நுழைவாசலின் மரத்தாலான தோரண வளைவுக்குமேல் தொங்கிய காவல்மணியாகிய காஞ்சனம் தாலிச்சின்னம்போல பொன்னிறமாக சுடர்விட்டுக்கொண்டிருந்தது
